iter	Passed	Remaining
916	71953	6512
917	72032	6434
918	72096	6354
919	72183	6276
920	72254	6197
921	72377	6123
922	72451	6044
923	72532	5965
924	72596	5886
925	72658	5806
926	72737	5727
927	72800	5648
928	72883	5570
929	72948	5490
930	73032	5412
931	73095	5333
932	73160	5253
933	73256	5176
934	73330	5097
935	73418	5020
936	73482	4940
937	73562	4862
938	73638	4783
939	73703	4704
940	73780	4625
941	73843	4546
942	73907	4467
943	73989	4389
944	74051	4309
945	74137	4231
946	74203	4152
947	74297	4075
948	74366	3996
949	74442	3918
950	74511	3839
951	74660	3764
952	74724	3685
953	74805	3606
954	74870	3527
955	74936	3448
956	75022	3370
957	75086	3291
958	75169	3213
959	75233	3134
960	75320	3056
961	75387	2977
962	75462	2899
963	75527	2820
964	75592	2741
965	75670	2663
966	75732	2584
967	75799	2505
968	75880	2427
969	75944	2348
970	76029	2270
971	76093	2191
972	76176	2113
973	76241	2035
974	76319	1956
975	76411	1878
976	76473	1800
977	76554	1722
978	76623	1643
979	76728	1565
980	76790	1487
981	76873	1409
982	76936	1330
983	77034	1252
984	77098	1174
985	77183	1095
986	77248	1017
987	77362	939
988	77426	861
989	77517	783
990	77582	704
991	77659	626
992	77722	547
993	77803	469
994	77867	391
995	77956	313
996	78020	234
997	78124	156
998	78209	78
999	78278	0
